prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,effect_size,heterogeneity
P1,0.23604644001443803,0.17978400170059455,0.008092445525279645,0.7949103190725144,7.416477498598151,3.157700669198689,0.006585026045829648,39.40033966193505,P1_effect08,0.8,P1
P2,0.14991714094748831,0.1106917966290415,0.004928923139670309,0.5252597261481068,3.6053639679053022,1.2178381125646818,0.0024335020639627675,22.157557529514328,P2_effect08,0.8,P2
P3,0.19529179268706198,0.14993247940276944,0.0068562053484601815,0.6503761756009727,5.47889581076196,2.212261077946721,0.004719026894321562,30.34541217253472,P3_effect08,0.8,P3
P1,0.2350238996181064,0.17950071885556998,0.008143302043150199,0.7875222956529652,7.3654962135199344,3.1445288103869125,0.0066453224672939565,38.96817690818114,P1_effect05,0.5,P1
P2,0.14974339402284023,0.11055722294280251,0.004944150603318563,0.5240633855533499,3.596380711231552,1.2160631422607664,0.0024452606626523673,22.095937322484616,P2_effect05,0.5,P2
P3,0.19469619341179698,0.1496255717718586,0.006806345302835622,0.6481236785979272,5.451473178086643,2.2052972504666086,0.004634225873694745,30.2110544788554,P3_effect05,0.5,P3
P1,0.2342375256780881,0.1791477303058284,0.008132697581475157,0.7842466605697587,7.324895345743948,3.134682414456605,0.006641572322420796,38.7367143683492,P1_effect02,0.2,P1
P2,0.149414727519805,0.1104302362092368,0.0049082825883384465,0.5223270169305497,3.581963702891993,1.2127120292387488,0.00240953300662554,21.97573937512038,P2_effect02,0.2,P2
P3,0.19443532209476314,0.14940855873774617,0.006805194726956707,0.6461309623170227,5.438795346671052,2.2009821655018325,0.004638916072788726,30.0818432048014,P3_effect02,0.2,P3
