scenario,n,FDR,FWER
P1,6,0.028,0.028
P1,8,0.024,0.024
P1,10,0.03,0.03
P1,12,0.024,0.024
P1,14,0.026,0.026
P1,16,0.014,0.014
P1,18,0.03,0.03
P1,20,0.018,0.018
P1,22,0.024,0.024
P1,24,0.016,0.016
P1,26,0.022,0.022
P1,28,0.02,0.02
P1,30,0.022,0.022
P2,6,0.03,0.03
P2,8,0.026,0.026
P2,10,0.024,0.024
P2,12,0.026,0.026
P2,14,0.026,0.026
P2,16,0.01,0.01
P2,18,0.032,0.032
P2,20,0.02,0.02
P2,22,0.024,0.024
P2,24,0.02,0.02
P2,26,0.024,0.024
P2,28,0.02,0.02
P2,30,0.024,0.024
P3,6,0.03,0.03
P3,8,0.028,0.028
P3,10,0.028,0.028
P3,12,0.026,0.026
P3,14,0.028,0.028
P3,16,0.012,0.012
P3,18,0.03,0.03
P3,20,0.02,0.02
P3,22,0.02,0.02
P3,24,0.018,0.018
P3,26,0.022,0.022
P3,28,0.024,0.024
P3,30,0.028,0.028
