arm,power,MAE,MAPE,mean_ci_width,ci_lower_mean,ci_upper_mean,coverage,scenario,effect_size,heterogeneity
1,0.978,0.1396597410811194,0.17457467635139925,0.822843983639347,0.3714501987565553,1.1942941823959023,0.982,P1_effect08,0.8,P1
2,0.95,0.14232470614917322,0.17790588268646654,0.8478497901412216,0.3460856625047936,1.1939354526460153,0.988,P1_effect08,0.8,P1
3,0.97,0.13302441700128964,0.16628052125161205,0.8140910996805633,0.36278026337826075,1.1768713630588241,0.982,P1_effect08,0.8,P1
4,0.932,0.1442273943887359,0.1802842429859199,0.8831738827911105,0.3305288241710722,1.2137027069621829,0.978,P1_effect08,0.8,P1
5,0.97,0.13290891575858252,0.16613614469822816,0.7747450184007787,0.37786621054052266,1.1526112289413013,0.978,P1_effect08,0.8,P1
1,0.976,0.1418419436884891,0.17730242961061135,0.8384920355198708,0.3647361279295789,1.2032281634494497,0.982,P2_effect08,0.8,P2
2,0.944,0.14468542612150467,0.18085678265188082,0.866231496106898,0.3363564800880732,1.2025879761949712,0.986,P2_effect08,0.8,P2
3,0.97,0.13454785239432973,0.16818481549291217,0.8293543859905399,0.3555671696434651,1.184921555634005,0.986,P2_effect08,0.8,P2
4,0.93,0.14713765987390875,0.18392207484238593,0.9041125060896257,0.3199616690534929,1.2240741751431186,0.982,P2_effect08,0.8,P2
5,0.97,0.1344161640260179,0.16802020503252235,0.7873355497532026,0.3714914126905439,1.1588269624437466,0.98,P2_effect08,0.8,P2
1,0.976,0.1419040370696955,0.1773800463371194,0.8385057001018801,0.36479325357106107,1.2032989536729413,0.982,P3_effect08,0.8,P3
2,0.944,0.14466003747959982,0.1808250468494998,0.8657148898572572,0.3371747201653175,1.2028896100225748,0.986,P3_effect08,0.8,P3
3,0.97,0.13455505274854465,0.16819381593568083,0.8288859137369567,0.35566485795020675,1.1845507716871635,0.982,P3_effect08,0.8,P3
4,0.93,0.14714347389814905,0.18392934237268632,0.9029946273761805,0.3208598585151093,1.2238544858912899,0.98,P3_effect08,0.8,P3
5,0.968,0.13439971758661187,0.16799964698326483,0.7869193924255625,0.3720048848272339,1.1589242772527963,0.978,P3_effect08,0.8,P3
1,0.668,0.13955797434528927,0.27911594869057854,0.8219886870857938,0.07867455401565476,0.9006632411014485,0.98,P1_effect05,0.5,P1
2,0.642,0.14148121084578472,0.28296242169156943,0.8468710879630709,0.0536352260152067,0.9005063139782776,0.988,P1_effect05,0.5,P1
3,0.658,0.13193840902686435,0.2638768180537287,0.8131379115186044,0.07033858062308855,0.883476492141693,0.982,P1_effect05,0.5,P1
4,0.61,0.14367260715108052,0.28734521430216103,0.8825018799218207,0.03858238383313523,0.921084263754956,0.976,P1_effect05,0.5,P1
5,0.696,0.13230581368088987,0.26461162736177973,0.7743466635610295,0.08487595843252531,0.8592226219935548,0.978,P1_effect05,0.5,P1
1,0.646,0.14114269829712267,0.28228539659424534,0.8378339292042316,0.0715551222283104,0.909389051432542,0.982,P2_effect05,0.5,P2
2,0.614,0.14384503346078772,0.28769006692157545,0.864846229158534,0.04458275577142551,0.9094289849299596,0.988,P2_effect05,0.5,P2
3,0.634,0.13335405043273005,0.2667081008654601,0.8284951618918037,0.06249550369485313,0.8909906655866568,0.984,P2_effect05,0.5,P2
4,0.592,0.14615692851980078,0.29231385703960155,0.9028040935987155,0.028203867369840485,0.931007960968556,0.982,P2_effect05,0.5,P2
5,0.686,0.13373968920827012,0.26747937841654024,0.7874390505945752,0.07797867806639895,0.8654177286609741,0.976,P2_effect05,0.5,P2
1,0.666,0.14138574245597033,0.28277148491194065,0.8373357111908035,0.07196858357765532,0.9093042947684589,0.98,P3_effect05,0.5,P3
2,0.616,0.14399259673953502,0.28798519347907003,0.8646091796569064,0.04453096336992718,0.9091401430268337,0.988,P3_effect05,0.5,P3
3,0.632,0.1335189054391525,0.267037810878305,0.8283836489969993,0.06248970555077214,0.8908733545477715,0.984,P3_effect05,0.5,P3
4,0.606,0.14629693559037743,0.29259387118075486,0.902525858848557,0.02876223128187784,0.9312880901304348,0.984,P3_effect05,0.5,P3
5,0.692,0.13358946373455224,0.2671789274691045,0.7862916609894306,0.07864866029326716,0.8649403212826977,0.978,P3_effect05,0.5,P3
1,0.116,0.13907069602359023,0.6953534801179511,0.8220593922110677,-0.21415540507222455,0.6079039871388431,0.976,P1_effect02,0.2,P1
2,0.102,0.1408671534864759,0.7043357674323795,0.8465224435175233,-0.23854549155915705,0.6079769519583662,0.99,P1_effect02,0.2,P1
3,0.104,0.1308881582997079,0.6544407914985395,0.8132323420021922,-0.2228890367427388,0.5903433052594534,0.982,P1_effect02,0.2,P1
4,0.098,0.14303964639417477,0.7151982319708738,0.8819518707996978,-0.2533009600716402,0.6286509107280577,0.982,P1_effect02,0.2,P1
5,0.12,0.13178117578828982,0.658905878941449,0.7740049300268222,-0.20870646366009094,0.5652984663667313,0.976,P1_effect02,0.2,P1
1,0.108,0.14120156338033998,0.7060078169016999,0.8375734961428155,-0.22155438923712364,0.6160191069056918,0.978,P2_effect02,0.2,P2
2,0.1,0.14343444712974082,0.717172235648704,0.86466252398433,-0.2481218577115328,0.6165406662727971,0.99,P2_effect02,0.2,P2
3,0.102,0.13261281626305138,0.6630640813152568,0.8289581050233573,-0.23082501378264755,0.5981330912407098,0.982,P2_effect02,0.2,P2
4,0.086,0.14577610968122634,0.7288805484061317,0.9025121928740444,-0.26363830315800757,0.6388738897160368,0.982,P2_effect02,0.2,P2
5,0.118,0.13333953773291068,0.6666976886645535,0.7876789776984026,-0.21631852180749675,0.5713604558909058,0.978,P2_effect02,0.2,P2
1,0.112,0.14105845754760682,0.7052922877380341,0.8379144801254574,-0.22166080362970186,0.6162536764957556,0.978,P3_effect02,0.2,P3
2,0.098,0.14347047705403004,0.7173523852701501,0.8638327518907442,-0.24793452631213325,0.6158982255786108,0.99,P3_effect02,0.2,P3
3,0.1,0.1325857300293202,0.662928650146601,0.8279998921588186,-0.23017944932823928,0.5978204428305794,0.984,P3_effect02,0.2,P3
4,0.086,0.1458612641560515,0.7293063207802574,0.9019684283127237,-0.2637505740929885,0.6382178542197352,0.98,P3_effect02,0.2,P3
5,0.114,0.13342373905767774,0.6671186952883886,0.7868788209354829,-0.21586951988331576,0.5710093010521671,0.978,P3_effect02,0.2,P3
